Source,Sector,Property No,Room No,Type,Rent,Availability,Notes,PublicRef,ListingIntent,WebsiteStatus,PhotoFolder,WebsiteDescription,SourceInventoryRef,VerificationStatus,InternalNotes,ListingStatusDate,,MediaFolderLink
BDR,Sector 43,Plot 2193,304,1RK,22K,Immediately,,MRH-1154,Rent,Hidden,MRH-1154,1RK in Sector 43,BDR-Plot 2193-304,Pending,,,,https://drive.google.com/drive/folders/1X1qh3018gkfoeSXJFRxZ8kQl0tfKzuWI
BDR,Sector 43,Plot 2193,402,1RK,22K,Immediately,,MRH-1155,Rent,Hidden,MRH-1155,1RK in Sector 43,BDR-Plot 2193-402,Pending,,,,https://drive.google.com/drive/folders/1TW6TIRHKXGmHWEbrMDbOHoQr5OCJ2R7T
BDR,Sector 43,Plot 2193,501,1RK,22K,Immediately,,MRH-1156,Rent,Hidden,MRH-1156,1RK in Sector 43,BDR-Plot 2193-501,Pending,,,,https://drive.google.com/drive/folders/1gmNFOPTioxDrBwSpNnOd_Fm5cJ1vmNxA
BDR,Sector 43,Plot 2193,502,1RK,22K,Immediately,,MRH-1157,Rent,Hidden,MRH-1157,1RK in Sector 43,BDR-Plot 2193-502,Pending,,,,https://drive.google.com/drive/folders/1ktNuTTv3UlpD0_rCXeH5r-NS69Lw8tjM
BDR,Sector 24,Plot U-23/21A,201,1RK,18K–21K,Immediately,,MRH-1158,Rent,Live,MRH-1158,1RK in Sector 24,BDR-Plot U-23/21A-201,Pending,,,,https://drive.google.com/drive/folders/1GIq4ZWzBC5WyEcka5n7XhTheHMiLqJYO
BDR,Sector 24,Plot U-23/21A,401,1RK,18K–21K,Immediately,,MRH-1159,Rent,Hidden,MRH-1159,1RK in Sector 24,BDR-Plot U-23/21A-401,Pending,,,,https://drive.google.com/drive/folders/1JFK2bqJQlzMvrsADiybu7_eqf1cM6Qad
BDR,Sector 24,Plot U-23/21A,404,1RK,18K–21K,Immediately,,MRH-1160,Rent,Hidden,MRH-1160,1RK in Sector 24,BDR-Plot U-23/21A-404,Pending,,,,https://drive.google.com/drive/folders/1QhY537Kmg9AgPkK9riHUdhi5fgtHzGFY
BDR,Sector 24,Plot U-23/21A,501,1RK,18K–21K,Immediately,,MRH-1161,Rent,Hidden,MRH-1161,1RK in Sector 24,BDR-Plot U-23/21A-501,Pending,,,,https://drive.google.com/drive/folders/1L5ItX4QMetb2Zpsc7KGvRbtkEya-EaPB
BDR,Sector 28,Plot 3304,205,1RK,20K–23K,01-Jun-2026,,MRH-1162,Rent,Hidden,MRH-1162,1RK in Sector 28,BDR-Plot 3304-205,Pending,,,,https://drive.google.com/drive/folders/16zRB5a5_0pgFGn-YmadoCHv2JWh1LM8C
BDR,Sector 28,Plot 3304,206,1RK,20K–23K,01-Jun-2026,,MRH-1163,Rent,Hidden,MRH-1163,1RK in Sector 28,BDR-Plot 3304-206,Pending,,,,https://drive.google.com/drive/folders/1FT6_6xil5aMOPWeXJB0mL8DD7wEIsL7F
BDR,Sector 28,Plot 3304,405,1RK,20K–23K,01-Jun-2026,,MRH-1164,Rent,Hidden,MRH-1164,1RK in Sector 28,BDR-Plot 3304-405,Pending,,,,https://drive.google.com/drive/folders/1FaV08OUdu9Kq2NJWmOkSPReY9e6Oi9Na
